cpf;nome do servidor;mes pagamento;ano pagamento;vale transporte;vale alimentacao;desconto do INSS;desconto do IRRF;adiantamento salarial;licenca paternidade;licenca de luto;licenca casamento;licenca maternidade;licenca nao remunerada
043..96.2.1-78;Heloisa da Costa;01;2023;R$ 72,22;R$ 323,24;R$ 515,38;R$ 551,28;R$ 879,28;R$ 36,53;R$ 40,92;R$ 11,83;R$ 197,54;R$ 989,59
847..10.3.6-52;Calebe Correia;01;2023;R$ 134,65;R$ 301,17;R$ 588,05;R$ 571,39;R$ 526,78;R$ 24,07;R$ 15,42;R$ 25,97;R$ 159,13;R$ 646,41
938..01.2.7-46;Maria Luiza Nascimento;01;2023;R$ 106,33;R$ 507,77;R$ 821,71;R$ 1604,71;R$ 352,86;R$ 35,38;R$ 42,64;R$ 41,91;R$ 243,60;R$ 151,48
346..09.7.5-81;Rafaela Ramos;01;2023;R$ 53,96;R$ 518,02;R$ 823,20;R$ 1742,31;R$ 200,77;R$ 35,14;R$ 35,42;R$ 25,87;R$ 380,16;R$ 787,63
735..01.8.6-42;Heloisa Dias;01;2023;R$ 136,65;R$ 246,76;R$ 705,16;R$ 2264,81;R$ 958,25;R$ 23,46;R$ 14,31;R$ 7,83;R$ 471,50;R$ 1416,36
149..06.8.7-35;Mirella Teixeira;02;2023;R$ 168,59;R$ 537,78;R$ 786,06;R$ 138,80;R$ 570,14;R$ 13,03;R$ 7,76;R$ 9,98;R$ 229,11;R$ 589,79
231..98.6.7-45;Bruno Campos;02;2023;R$ 166,67;R$ 419,40;R$ 759,84;R$ 1273,89;R$ 832,12;R$ 7,62;R$ 25,40;R$ 45,41;R$ 135,33;R$ 752,86
189..76.2.4-50;Marcos Vinicius Correia;02;2023;R$ 157,86;R$ 538,69;R$ 480,07;R$ 1045,54;R$ 379,68;R$ 40,26;R$ 18,25;R$ 10,57;R$ 244,18;R$ 124,88
457..90.2.1-68;Leticia Porto;02;2023;R$ 135,36;R$ 552,57;R$ 825,20;R$ 942,25;R$ 694,02;R$ 1,07;R$ 31,66;R$ 40,85;R$ 494,92;R$ 506,47
461..29.8.0-73;Bruno da Cruz;02;2023;R$ 51,57;R$ 266,91;R$ 677,28;R$ 356,49;R$ 873,67;R$ 45,28;R$ 10,09;R$ 46,60;R$ 280,64;R$ 934,42
378..05.9.4-12;Catarina Mendes;03;2023;R$ 94,74;R$ 532,51;R$ 319,85;R$ 276,25;R$ 651,64;R$ 17,14;R$ 4,32;R$ 34,34;R$ 394,82;R$ 25,68
372..96.0.1-58;Francisco Pinto;03;2023;R$ 69,30;R$ 315,59;R$ 344,49;R$ 567,36;R$ 362,25;R$ 39,39;R$ 48,02;R$ 28,19;R$ 429,22;R$ 534,11
819..37.2.0-45;Guilherme Martins;03;2023;R$ 187,32;R$ 228,92;R$ 831,38;R$ 1498,16;R$ 167,45;R$ 23,62;R$ 36,71;R$ 38,89;R$ 402,83;R$ 513,22
036..57.9.1-28;Bianca Viana;03;2023;R$ 180,59;R$ 343,24;R$ 908,85;R$ 2247,48;R$ 252,92;R$ 4,36;R$ 40,41;R$ 31,50;R$ 147,91;R$ 778,17
821..94.0.5-37;Luiz Otavio Oliveira;03;2023;R$ 73,21;R$ 220,86;R$ 479,65;R$ 1171,23;R$ 348,29;R$ 13,84;R$ 38,04;R$ 21,64;R$ 335,25;R$ 852,30
067..41.9.5-82;Vitor Nogueira;04;2023;R$ 147,52;R$ 352,92;R$ 908,85;R$ 993,80;R$ 819,30;R$ 19,07;R$ 5,63;R$ 32,13;R$ 260,79;R$ 904,19
137..08.5.4-26;Joana da Rocha;04;2023;R$ 110,92;R$ 322,63;R$ 569,91;R$ 219,63;R$ 320,46;R$ 28,70;R$ 19,65;R$ 44,57;R$ 309,58;R$ 50,82
832..57.0.1-69;Luiz Fernando Almeida;04;2023;R$ 133,41;R$ 385,92;R$ 742,36;R$ 567,32;R$ 425,73;R$ 32,02;R$ 14,51;R$ 2,15;R$ 486,90;R$ 859,00
108..67.4.9-25;Manuela Rodrigues;04;2023;R$ 107,40;R$ 486,17;R$ 592,66;R$ 1109,40;R$ 574,85;R$ 34,34;R$ 46,28;R$ 27,21;R$ 119,12;R$ 162,20
651..79.4.2-83;Bruno Costela;04;2023;R$ 108,04;R$ 271,68;R$ 862,82;R$ 1433,90;R$ 232,47;R$ 35,31;R$ 32,30;R$ 45,31;R$ 123,78;R$ 367,14
571..09.2.4-86;Felipe Gomes;05;2023;R$ 113,87;R$ 374,24;R$ 886,79;R$ 854,25;R$ 481,22;R$ 13,47;R$ 29,84;R$ 1,32;R$ 271,75;R$ 1179,91
168..25.4.0-37;Leticia Pereira;05;2023;R$ 180,08;R$ 448,02;R$ 756,37;R$ 196,24;R$ 635,72;R$ 12,89;R$ 41,53;R$ 36,33;R$ 435,08;R$ 1113,14
