orgao;unidade;cpf;nome do servidor;departamento;tipo de cargo;tipo vinculado;data admissao;carga horaria mensal;remuneracao total;remuneracao do mes;valor liquido;valor provento;valor provento mes;mes pagamento;ano pagamento
Prefeitura Municipal;Gabinete do Prefeito;043.962.178-03;Heloisa da Costa;TI;Efetivo;Servidor Publico;11/07/2017;120;R$ 5.160,33;R$ 5.160,33;R$ 4.820,42;R$ 6.108,40;R$ 5.778,46;1;2023
Secretaria de TI;Nucleo de Desenvolvimento;847.103.652-53;Calebe Correia;Financeiro;Comissionado;Cargo em Comissao;05/01/2013;180;R$ 4.896,23;R$ 4.896,23;R$ 4.534,00;R$ 5.345,93;R$ 5.162,64;1;2023
Secretaria de TI;Nucleo de Desenvolvimento;938.012.746-40;Maria Luiza Nascimento;Ensino Medio;Efetivo;Servidor Publico;09/01/2015;180;R$ 6.198,82;R$ 6.198,82;R$ 5.440,56;R$ 7.037,40;R$ 7.131,56;1;2023
Secretaria da Saude;Posto Central;346.097.581-48;Rafaela Ramos;Ensino Fundamental;Comissionado;Cargo em Comissao;06/12/2012;120;R$ 6.444,22;R$ 6.444,22;R$ 6.192,40;R$ 7.090,31;R$ 7.400,84;1;2023
Secretaria de TI;Nucleo de Desenvolvimento;735.018.642-80;Heloisa Dias;Ensino Medio;Comissionado;Cargo em Comissao;21/12/2013;180;R$ 8.664,74;R$ 8.664,74;R$ 7.686,64;R$ 8.893,35;R$ 9.285,30;1;2023
Secretaria da Saude;Posto Central;149.068.735-10;Mirella Teixeira;Recursos Humanos;Comissionado;Cargo em Comissao;14/06/2011;180;R$ 5.956,42;R$ 5.956,42;R$ 5.587,53;R$ 6.373,56;R$ 6.370,87;2;2023
Secretaria da Educacao;Escola Municipal Aurora;231.986.745-73;Bruno Campos;Ensino Fundamental;Temporario;Contrato Temporario;23/01/2023;120;R$ 7.042,02;R$ 7.042,02;R$ 6.178,10;R$ 7.916,39;R$ 7.935,71;2;2023
Secretaria da Educacao;Escola Municipal Aurora;189.762.450-67;Marcos Vinicius Correia;Enfermagem;Temporario;Contrato Temporario;15/08/2010;160;R$ 4.062,34;R$ 4.062,34;R$ 3.440,81;R$ 4.286,73;R$ 4.560,56;2;2023
Secretaria da Saude;Posto Central;457.902.168-11;Leticia Porto;Recursos Humanos;Comissionado;Cargo em Comissao;10/06/2012;180;R$ 7.222,48;R$ 7.222,48;R$ 6.317,15;R$ 7.989,49;R$ 7.625,09;2;2023
Secretaria de TI;Nucleo de Desenvolvimento;461.298.073-50;Bruno da Cruz;Administracao Geral;Temporario;Contrato Temporario;23/04/2024;160;R$ 5.088,13;R$ 5.088,13;R$ 4.873,38;R$ 5.835,35;R$ 5.871,89;2;2023
Secretaria de TI;Nucleo de Desenvolvimento;378.059.412-97;Catarina Mendes;Administracao Geral;Efetivo;Servidor Publico;31/03/2020;160;R$ 3.052,18;R$ 3.052,18;R$ 2.540,30;R$ 3.339,16;R$ 3.300,29;3;2023
